pipeline_observation_number,source_row_index,source_timestamp,entity_id,open,high,low,close,volume,physical_row,status,observation_id,emission_id,source_delta_t_seconds,decision_rule_path,H,Q_G,Q_S,Q_R,C,path_direction,terminal_displacement,strength,coherence,persistence,uncertainty,reversal_propensity,position_decision,position_state_before,position_state_after,prior_context_count,adaptation_event_delta,feedback_event_delta
1,0,2022-09-30 04:00:00,AAPL,143.59,143.59,143.1,143.49,4060,2,INITIALIZING,2e952c630f8e9fd39462532946dcee144d3e186891def2383925e3115b44f4d1,3fd5390bd3aeab488c75fb84503045b6e401114699a03995da914aef1e665461,,INITIALIZATION_NON_ACTIONABLE,1,0.0,0.5752710713443663,0.6718439044523016,0.0,FLAT,0.0,0.9518918578430619,0.9999999952380952,0.2,0.26894142211899297,0.3825744672088606,,FLAT,FLAT,0,0,0
2,1,2022-09-30 04:01:00,AAPL,143.49,143.49,143.38,143.38,481,3,INITIALIZING,104c45096a2075a010786a3a06a83d56875bb371e0b929300be4fafd1b5208fb,14957315205bdc2e27b25aee9cdf0cbed34595ce2e268328e47b58ea06450b90,60.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.583394947577654,0.44450802148258656,0.25932373389068025,DOWNWARD,-0.10918009289513254,0.8478762624099133,0.8363726825559088,0.27999848062520943,0.4999310674014657,0.60487971101178,,FLAT,FLAT,1,0,0
3,2,2022-09-30 04:02:00,AAPL,143.22,143.22,143.22,143.22,107,4,INITIALIZING,524b3318ff884cd702e34029ab156dfb47671c723fcec61fccb4f050bd0a88b2,b9cb405c94886e6a4bc293652cac65eaf7dacc7ff9d86b19412404998150ba6f,60.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.4510223154818788,0.6201775646769652,0.27971392123051747,DOWNWARD,-0.14544605529127075,0.5699854265807518,0.37963522314920334,0.423998030064085,0.3847262236114939,0.37487956339327505,,FLAT,FLAT,2,0,0
4,3,2022-09-30 04:03:00,AAPL,143.39,143.39,143.21,143.23,2811,5,INITIALIZING,82902f07105205f7ad135df54aaf65763a8feefabca1f2a6ed5d722b99591689,09c8f4c79d9dac228c7534fba892137992126bc6198319841aade89d1fc3fc6b,60.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.625575254190025,0.5325401308398783,0.33314392771654605,UPWARD,0.09225850018034587,0.9246621741423019,0.7805518643322049,0.339198424051268,0.3290525961143328,0.577315614737394,,FLAT,FLAT,3,0,0
5,4,2022-09-30 04:04:00,AAPL,143.3,143.32,143.3,143.32,309,6,INITIALIZING,7ca1ac860bffc91ddcceca9d9c917431d260e81176c3449797f20ff0b70a97e8,cb85ca26c88105befb490fc96e0773c51752ecf334a2d3c92bba231d63093b14,60.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.5855508637824203,0.5396354768887026,0.3159840196198181,UPWARD,0.1265221769936417,0.7418616797279819,0.6915080953096919,0.3913575086910786,0.3323740327160964,0.5638179726567408,,FLAT,FLAT,4,0,0
6,5,2022-09-30 04:05:00,AAPL,143.38,143.39,143.2,143.2,1565,7,INITIALIZING,0ad63517d06bc46fd2dd05f61ab03ed7beaf52046c289bef288b94df508df930,f4a71082ac1faf5ba49eea531b1015af89ce0532fd81d0d0474d6c42f915762b,60.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.5743918270682942,0.6280360514057556,0.3607387750317091,DOWNWARD,-0.21327497708371163,0.8740081343384413,0.6925412125143325,0.3130860069528629,0.3536525473644293,0.389756577121186,,FLAT,FLAT,5,0,0
7,6,2022-09-30 04:06:00,AAPL,143.17,143.17,143.0,143.0,2919,8,INITIALIZING,737ecfdcc887b3e7eff1a3f3e1dc2a40ff583a66cd1faf877f709629ca74a02c,dc89e21abec1dc18b08b8546aed5ed4bb835550f622f5b33020b5e7c44a3b6bc,60.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.6072505044944314,0.6323511771703436,0.38399557135433876,DOWNWARD,-0.26759860685444525,0.887193970198892,0.5603012613697372,0.4504675082156797,0.35675510199982846,0.37835805225677394,,FLAT,FLAT,6,0,0
8,7,2022-09-30 04:09:00,AAPL,143.03,143.03,143.02,143.02,574,9,INITIALIZING,f17b7ce478ead68524351c18b7d00f29f942a7aba7f613236b905ff81022a5ca,bd4a89ee4c9d7fd8dd4c4f0f0df1584195ad1dd1f4d0896019ce73e572a3a9bf,180.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.43218927336716706,0.44743652541745665,0.19337726679810058,UPWARD,0.02911366282807526,0.6856397534927586,0.32671757962375564,0.3603740065725438,0.4893640953483381,0.6079409174836317,,FLAT,FLAT,7,0,0
9,8,2022-09-30 04:14:00,AAPL,143.13,143.2,143.13,143.2,295,10,INITIALIZING,a05900a360d1650c1b73ce6adcd4638e5be43b208bf37ed35c5022c81eeeddbf,5fe6e5baeca09cabcccf6a8cb047a6d446f0b6de863d28b24d42a1480939c689,300.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.49615056845660155,0.5144570967945001,0.2552481810211241,UPWARD,0.04007774403787412,0.6241021529159955,0.4792988276816506,0.4082991091420095,0.38061332653442875,0.5726964822130013,,FLAT,FLAT,8,0,0
10,9,2022-09-30 04:15:00,AAPL,143.25,143.25,143.2,143.24,5742,11,INITIALIZING,e552b792c7df9faad25d15e1b73c7b475dd8ad6a139f85e1597ae2376ca31b72,8dcbc4f1b21ef9f45b130ae22617d5452046d9774f5e17303a32b65bbaf79ecd,60.0,INITIALIZATION_NON_ACTIONABLE,1,1.0,0.7002845685191394,0.5614132725088631,0.3931490512997872,UPWARD,0.06279625312329201,0.9277323294449378,0.828789366950988,0.4466391695244649,0.29782089951052676,0.5511332332030351,,FLAT,FLAT,9,0,0
